GENE	ENTRID
ABL1	25
AKT1	207
ALK	238
APC	324
ASXL1	171023
ATM	472
ATRX	546
BCOR	54880
BCORL1	63035
BRAF	673
BRCA1	672
BRCA2	675
CALR	811
CBL	867
CBLB	868
CBLC	23624
CDH1	999
CDKN2A	1029
CEBPA	1050
CSF1R	1436
CSF3R	1441
CTNNB1	1499
DNMT3A	1788
EGFR	1956
EML4	27436
ERBB2	2064
ERBB4	2066
ETV6	2120
EZH2	2146
FBXW7	55294
FGFR1	2260
FGFR2	2263
FGFR3	2261
FLT3	2322
FOXL2	668
GATA1	2623
GATA2	2624
GNA11	2767
GNAQ	2776
GNAS	2778
HNF1A	6927
HRAS	3265
IDH1	3417
IDH2	3418
IKZF1	10320
JAK2	3717
JAK3	3718
KDM6A	7403
KDR	3791
KIT	3815
KMT2A	4297
KRAS	3845
MAP2K1	5604
MET	4233
MLH1	4292
MPL	4352
MSH6	2956
MYD88	4615
NOTCH1	4851
NPM1	4869
NRAS	4893
PDGFRA	5156
PHF6	84295
PIK3CA	5290
PTEN	5728
PTPN11	5781
RAD21	5885
RB1	5925
RET	5979
ROS1	6098
RUNX1	861
SETBP1	26040
SF3B1	23451
SMAD4	4089
SMARCB1	6598
SMC3	9126
SMO	6608
SRC	6714
SRSF2	6427
STAG2	10735
STK11	6794
TET2	54790
TP53	7157
U2AF1	7307
VHL	7428
ZRSR2	8233
