gene	突变类型	突变频率	相关通路	PMID	文献类型	IF	年份	引用量	备注
TERT	promotor mut	60.00%	Telomere maintenance	27838634	Review	5.03	2017	8	
TERT	HBV int、mut	60.00%		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)
TERT	promotor mut	60.00%		27262756	Review	7.43	2016	12	
TERT	promotor mut	44.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中
TERT	promotor mut	26.00%		.	.	.	.	.	来源于cosmic
TERT	promotor mut	58.00%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰
TERT	promotor mut	3.00%		28297679		8.4	2017	8	仅在第一阶段出现
TERT	promotor mut	43.00%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例
TERT	HBV int	22.00%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例
TERT	amp	6.70%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例
TERT	promotor mut	10.50%		28843658	research	7.43	2017	0	85%的原发瘤和转移瘤中存在TP53\CTNNB1\TERT突变
TERT	promotor mut	15.20%		25636086	research	11.23	2015	30	30例胆汁表现的肝癌，60 HCC WGS，数据收录在ICGC
TERT	promotor mut	55.8%（432/774）		26099984	Review	4.91	2015	86	
TERT	amp	10/547 (1.6)§		26099984	Review	4.91	2015	86	
TERT	promoter mut	54-60%		26099527	Review	7.67	2015	77	
TERT	amp	5-6%		26099527	Review	7.67	2015	77	
ARID1A	mut	12.00%	DNA damage checkpoint and repair	27838634	Review	5.03	2017	8	
ARID1A	mut	25.9%（7/27）；10%(12/120)	.	22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，
ARID1A	mut	11.7%(35/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)
ARID1A	mut	13.00%	Chromatin remodelling	27262756	Review	7.43	2016	12	
ARID1A	mut	7.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中
ARID1A		7.00%		.	.	.	.	.	来源于cosmic
ARID1A	mut	12.80%	chromatin remodeling	25822088	research	23.17	2015	153	243 样本（14% HBV）
ARID1A		13.00%		26405193	research	8.39	2015	19	
ARID1A		8.80%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰
ARID1A	mut	17.40%	Epigenetic modifiers	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序
ARID1A	mut	16.00%	chromatin remodeling	28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的
ARID1A	mut	8-17%	chromatin remodeling	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例
ARID1A	mut	19.00%		24185509	research	24.17	2013	164	32 iCC，9 gall-bladder carcinomas
ARID1A	mut	54/928 (5.8)*	Chromatin remodeling	26099984	Review	4.91	2015	86	
ARID1A	mut	10%（12/120）		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set
ARID1A	mut	4-17%	Epigenetic modifiers	26099527	Review	7.67	2015	77	
TP53	mut	32.00%	genomic instability	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序
TP53	mut	8.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的
TP53		16.00%		26405193	research	8.39	2015	19	
TP53		29.10%	HCC	29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰
TP53	mut	31.00%	p53-Rb pathway	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例
TP53	mut	24.35%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）
TP53	mut	23.00%		28843658	research	7.43	2017	0	85%的原发瘤和转移瘤中存在TP53\CTNNB1\TERT突变
TP53	mut	27%（251/928)	p53/cell cycle control	26099984	Review	4.91	2015	86	
TP53	del	3.7%（20/547)	TP53/cell-cycle control	26099984	Review	4.91	2015	86	
TP53	mut	31.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中.该研究显示肝癌患者CLA4\PD1\PDL1药物获益可能较高
TP53		27.00%		.	.	.	.	.	来源于cosmic
TP53	mut	30.00%	cell cycle control	27262756	Review	7.43	2016	12	
TP53	mut	26.3%(79/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)
TP53	mut	35-50%	DNA damage checkpoint and repair	27838634	Review	5.03	2017	8	
TP53	mut	12-48%	P53-cell cycle pathway	26099527	Review	7.67	2015	77	
ARID2	mut	7.00%	DNA damage checkpoint and repair	27838634	Review	5.03	2017	8	
ARID2	mut	11.1%（3/27）；		22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，
ARID2	mut	8.7%(26/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)
ARID2	mut	7.00%	Chromatin remodelling	27262756	Review	7.43	2016	12	
ARID2	mut	5.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中
ARID2		5.00%		.	.	.	.	.	来源于cosmic
ARID2	mut	6.80%	chromatin remodeling	25822088	research	23.17	2015	153	243 样本（14% HBV）
ARID2		8.20%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰
ARID2	mut	3.40%	Epigenetic modifiers	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序
ARID2	mut	13.00%	chromatin remodeling	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例
ARID2		7.40%		25636086	research	11.23	2015	30	30例胆汁表现的肝癌，60 HCC WGS，数据收录在ICGC
ARID2	mut	62/928 (6.7)	Chromatin remodeling	26099984	Review	4.91	2015	86	
ARID2	mut	5.8%(7/120)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set
ARID2	mut	3-18%	Epigenetic modifiers	26099527	Review	7.67	2015	77	
CDKN2A	mut	6-30%		27838634	Review	5.03	2017	8	
CDKN2A	(STV)CNV	11.3%(34/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)
CDKN2A	mut	8.00%	cell cycle control	27262756	Review	7.43	2016	12	
CDKN2A	mut	2.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中
CDKN2A	del	13.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中
CDKN2A		6.00%		.	.	.	.	.	来源于cosmic
CDKN2A	mut,homo del	8.50%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）
CDKN2A		3-4%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰
CDKN2A	CNV,epigenetic silencing	47.00%		28297679		8.4	2017	8	仅在第一阶段出现
CDKN2A	del，mut	7.00%	p53-Rb pathway	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例
CDKN2A	mut	13/928 (1.4)	p53/cell cycle control	26099984	Review	4.91	2015	86	
CDKN2A	del	4.7%（26/547）	TP53/cell-cycle control	26099984	Review	4.91	2015	86	
CDKN2A	homo del	2-12%	P53-cell cycle pathway	26099527	Review	7.67	2015	77	
RB1		0-14%		27838634	Review	5.03	2017	8	
RB1	SNP、Indel、SV	5.7%（17/300）		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)
RB1	mut/del	8.00%	cell cycle control	27262756	Review	7.43	2016	12	
RB1	mut	4.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中
RB1	del	19.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中
RB1		3.00%		.	.	.	.	.	来源于cosmic
RB1	mut,homo del	3.80%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）
RB1		4.00%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰
RB1	mut	2.80%	Cell cycle	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序
RB1	mut	5.00%	p53-Rb pathway	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例
RB1	mut	3%（28/928）	p53/cell cycle control	26099984	Review	4.91	2015	86	
RB1	del	3.7%（20/547）	TP53/cell-cycle control	26099984	Review	4.91	2015	86	
RB1	homo del	3-8%	P53-cell cycle pathway	26099527	Review	7.67	2015	77	
AXIN1	mut	9-13%	Wnt signaling	27838634	Review	5.03	2017	8	
AXIN1	mut	4.7%(14/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)
AXIN1	mut	11.00%	WNT Signalling	27262756	Review	7.43	2016	12	
AXIN1	mut	8.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中
AXIN1		18.00%		.	.	.	.	.	来源于cosmic
AXIN1	mut,homo del	11.10%	WNT/β-catenin pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）
AXIN1		7.50%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰
AXIN1	mut	10.00%	β-catenin	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例
AXIN1	mut	45/928 (4.8)*	Wnt/β-catenin signalling	26099984	Review	4.91	2015	86	
AXIN1	del	16/547 (2.9)	Wnt/β-catenin signalling	26099984	Review	4.91	2015	86	
AXIN1	mut	5-15%	Wnt/β-catenin	26099527	Review	7.67	2015	77	
CTNNB1	mut	20-40%	Wnt signaling	27838634	Review	5.03	2017	8	
CTNNB1	mut	24%(72/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)
CTNNB1	mut	30.00%	WNT Signalling	27262756	Review	7.43	2016	12	
CTNNB1	mut	27.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中
CTNNB1		19.00%		.	.	.	.	.	来源于cosmic
CTNNB1	mut	37.40%	WNT/β-catenin pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）
CTNNB1		28.60%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰
CTNNB1	mut	1.30%	WNT signalling	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序
CTNNB1	mut	~30%	β-catenin	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例
CTNNB1	mut	26.3%（244/928）	Wnt/β-catenin signalling	26099984	Review	4.91	2015	86	
CTNNB1	mut	11-37%	Wnt/β-catenin	26099527	Review	7.67	2015	77	
PIK3CA	mut	2.00%	PI3K/MTOR signalling	27262756	Review	7.43	2016	12	
PIK3CA		0-35%		27838634	Review	5.03	2017	8	
PIK3CA	mut	4.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中
PIK3CA		3.00%		.	.	.	.	.	来源于cosmic
PIK3CA	mut	1.70%	PI3K/AKT/MTOR pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）
PIK3CA		2.00%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰
PIK3CA	mut	4.50%	RAS/RAF kinase	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序
PIK3CA	mut	5.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的
PIK3CA	mut	14/928 (1.5)	Ras/PI3K/mTOR pathway	26099984	Review	4.91	2015	86	
PIK3CA	mut	0-2%	Akt/mtor	26099527	Review	7.67	2015	77	
PTEN		3.00%		27838634	Review	5.03	2017	8	
PTEN	mut	4.3%(13/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)
PTEN	del	7.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中
PTEN	mut,homo del	3.40%	PI3K/AKT/MTOR pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）
PTEN		2.00%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰
PTEN	mut	2.60%	RAS/RAF kinase	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序
