gene	突变类型	突变频率	相关通路	PMID	文献类型	IF	年份	引用量	备注	Drug_anno(敏感增加或.)	Drug_anno(毒性增加或敏感降低或耐药提高)
TERT	promotor mut	60.00%	Telomere maintenance	27838634	Review	5.03	2017	8		Eribulin:PMID: 25375122,https: //academic.oup.com/neuro-oncology/article-abstract/18/suppl_4/iv50/2222864/P08-41-Development-of-a-novel-TERT-targeting?cited-by=yes&legid=neuonc,18/suppl_4/iv50-b	None
TERT	HBV int、mut	60.00%		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	Eribulin:PMID: 25375122,https: //academic.oup.com/neuro-oncology/article-abstract/18/suppl_4/iv50/2222864/P08-41-Development-of-a-novel-TERT-targeting?cited-by=yes&legid=neuonc,18/suppl_4/iv50-b	None
TERT	promotor mut	60.00%		27262756	Review	7.43	2016	12		Eribulin:PMID: 25375122,https: //academic.oup.com/neuro-oncology/article-abstract/18/suppl_4/iv50/2222864/P08-41-Development-of-a-novel-TERT-targeting?cited-by=yes&legid=neuonc,18/suppl_4/iv50-b	None
TERT	promotor mut	44.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	Eribulin:PMID: 25375122,https: //academic.oup.com/neuro-oncology/article-abstract/18/suppl_4/iv50/2222864/P08-41-Development-of-a-novel-TERT-targeting?cited-by=yes&legid=neuonc,18/suppl_4/iv50-b	None
TERT	promotor mut	26.00%		.	.	.	.	.	来源于cosmic	Eribulin:PMID: 25375122,https: //academic.oup.com/neuro-oncology/article-abstract/18/suppl_4/iv50/2222864/P08-41-Development-of-a-novel-TERT-targeting?cited-by=yes&legid=neuonc,18/suppl_4/iv50-b	None
TERT	promotor mut	58.00%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	Eribulin:PMID: 25375122,https: //academic.oup.com/neuro-oncology/article-abstract/18/suppl_4/iv50/2222864/P08-41-Development-of-a-novel-TERT-targeting?cited-by=yes&legid=neuonc,18/suppl_4/iv50-b	None
TERT	promotor mut	3.00%		28297679		8.4	2017	8	仅在第一阶段出现	Eribulin:PMID: 25375122,https: //academic.oup.com/neuro-oncology/article-abstract/18/suppl_4/iv50/2222864/P08-41-Development-of-a-novel-TERT-targeting?cited-by=yes&legid=neuonc,18/suppl_4/iv50-b	None
TERT	promotor mut	43.00%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	Eribulin:PMID: 25375122,https: //academic.oup.com/neuro-oncology/article-abstract/18/suppl_4/iv50/2222864/P08-41-Development-of-a-novel-TERT-targeting?cited-by=yes&legid=neuonc,18/suppl_4/iv50-b	None
TERT	HBV int	22.00%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	Eribulin:PMID: 25375122,https: //academic.oup.com/neuro-oncology/article-abstract/18/suppl_4/iv50/2222864/P08-41-Development-of-a-novel-TERT-targeting?cited-by=yes&legid=neuonc,18/suppl_4/iv50-b	None
TERT	amp	6.70%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	Eribulin:PMID: 25375122,https: //academic.oup.com/neuro-oncology/article-abstract/18/suppl_4/iv50/2222864/P08-41-Development-of-a-novel-TERT-targeting?cited-by=yes&legid=neuonc,18/suppl_4/iv50-b	None
TERT	promotor mut	10.50%		28843658	research	7.43	2017	0	85%的原发瘤和转移瘤中存在TP53\CTNNB1\TERT突变	Eribulin:PMID: 25375122,https: //academic.oup.com/neuro-oncology/article-abstract/18/suppl_4/iv50/2222864/P08-41-Development-of-a-novel-TERT-targeting?cited-by=yes&legid=neuonc,18/suppl_4/iv50-b	None
TERT	promotor mut	15.20%		25636086	research	11.23	2015	30	30例胆汁表现的肝癌，60 HCC WGS，数据收录在ICGC	Eribulin:PMID: 25375122,https: //academic.oup.com/neuro-oncology/article-abstract/18/suppl_4/iv50/2222864/P08-41-Development-of-a-novel-TERT-targeting?cited-by=yes&legid=neuonc,18/suppl_4/iv50-b	None
TERT	promotor mut	55.8%（432/774）		26099984	Review	4.91	2015	86		Eribulin:PMID: 25375122,https: //academic.oup.com/neuro-oncology/article-abstract/18/suppl_4/iv50/2222864/P08-41-Development-of-a-novel-TERT-targeting?cited-by=yes&legid=neuonc,18/suppl_4/iv50-b	None
TERT	amp	10/547 (1.6)§		26099984	Review	4.91	2015	86		Eribulin:PMID: 25375122,https: //academic.oup.com/neuro-oncology/article-abstract/18/suppl_4/iv50/2222864/P08-41-Development-of-a-novel-TERT-targeting?cited-by=yes&legid=neuonc,18/suppl_4/iv50-b	None
TERT	promoter mut	54-60%		26099527	Review	7.67	2015	77		Eribulin:PMID: 25375122,https: //academic.oup.com/neuro-oncology/article-abstract/18/suppl_4/iv50/2222864/P08-41-Development-of-a-novel-TERT-targeting?cited-by=yes&legid=neuonc,18/suppl_4/iv50-b	None
TERT	amp	5-6%		26099527	Review	7.67	2015	77		Eribulin:PMID: 25375122,https: //academic.oup.com/neuro-oncology/article-abstract/18/suppl_4/iv50/2222864/P08-41-Development-of-a-novel-TERT-targeting?cited-by=yes&legid=neuonc,18/suppl_4/iv50-b	None
ARID1A	mut	12.00%	DNA damage checkpoint and repair	27838634	Review	5.03	2017	8		None	Trastuzumab:PMID: 27172896||Trastuzumab:PMID: 27172896
ARID1A	mut	25.9%（7/27）；10%(12/120)	.	22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，	None	Trastuzumab:PMID: 27172896||Trastuzumab:PMID: 27172896
ARID1A	mut	11.7%(35/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	None	Trastuzumab:PMID: 27172896||Trastuzumab:PMID: 27172896
ARID1A	mut	13.00%	Chromatin remodelling	27262756	Review	7.43	2016	12		None	Trastuzumab:PMID: 27172896||Trastuzumab:PMID: 27172896
ARID1A	mut	7.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None	Trastuzumab:PMID: 27172896||Trastuzumab:PMID: 27172896
ARID1A		7.00%		.	.	.	.	.	来源于cosmic	None	Trastuzumab:PMID: 27172896||Trastuzumab:PMID: 27172896
ARID1A	mut	12.80%	chromatin remodeling	25822088	research	23.17	2015	153	243 样本（14% HBV）	None	Trastuzumab:PMID: 27172896||Trastuzumab:PMID: 27172896
ARID1A		13.00%		26405193	research	8.39	2015	19		None	Trastuzumab:PMID: 27172896||Trastuzumab:PMID: 27172896
ARID1A		8.80%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	None	Trastuzumab:PMID: 27172896||Trastuzumab:PMID: 27172896
ARID1A	mut	17.40%	Epigenetic modifiers	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	None	Trastuzumab:PMID: 27172896||Trastuzumab:PMID: 27172896
ARID1A	mut	16.00%	chromatin remodeling	28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	None	Trastuzumab:PMID: 27172896||Trastuzumab:PMID: 27172896
ARID1A	mut	8-17%	chromatin remodeling	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None	Trastuzumab:PMID: 27172896||Trastuzumab:PMID: 27172896
ARID1A	mut	19.00%		24185509	research	24.17	2013	164	32 iCC，9 gall-bladder carcinomas	None	Trastuzumab:PMID: 27172896||Trastuzumab:PMID: 27172896
ARID1A	mut	54/928 (5.8)*	Chromatin remodeling	26099984	Review	4.91	2015	86		None	Trastuzumab:PMID: 27172896||Trastuzumab:PMID: 27172896
ARID1A	mut	10%（12/120）		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None	Trastuzumab:PMID: 27172896||Trastuzumab:PMID: 27172896
ARID1A	mut	4-17%	Epigenetic modifiers	26099527	Review	7.67	2015	77		None	Trastuzumab:PMID: 27172896||Trastuzumab:PMID: 27172896
TP53	mut	32.00%	genomic instability	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Pramlintide:PMID: 25409149||AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Decitabine:PMID: 27959731;Doxorubicin:PMID: 27397505;Gemcitabine:PMID: 27397505;Mitomycin C:PMID: 27397505;MK-1775:NCT01357161,ASCO2015 (abstr 2507);Pramlintide:PMID: 25409149||HSP90 inhibitors:PMID: 26009011||HSP90 inhibitors:PMID: 26009011||Nutlin-3a:PMID:  27813088	Abemaciclib:PMID: 27217383;Cisplatin:PMID: 27646943||Nutlin-3a:PMID:  27813088
TP53	mut	8.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Pramlintide:PMID: 25409149||AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Decitabine:PMID: 27959731;Doxorubicin:PMID: 27397505;Gemcitabine:PMID: 27397505;Mitomycin C:PMID: 27397505;MK-1775:NCT01357161,ASCO2015 (abstr 2507);Pramlintide:PMID: 25409149||HSP90 inhibitors:PMID: 26009011||HSP90 inhibitors:PMID: 26009011||Nutlin-3a:PMID:  27813088	Abemaciclib:PMID: 27217383;Cisplatin:PMID: 27646943||Nutlin-3a:PMID:  27813088
TP53		16.00%		26405193	research	8.39	2015	19		AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Pramlintide:PMID: 25409149||AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Decitabine:PMID: 27959731;Doxorubicin:PMID: 27397505;Gemcitabine:PMID: 27397505;Mitomycin C:PMID: 27397505;MK-1775:NCT01357161,ASCO2015 (abstr 2507);Pramlintide:PMID: 25409149||HSP90 inhibitors:PMID: 26009011||HSP90 inhibitors:PMID: 26009011||Nutlin-3a:PMID:  27813088	Abemaciclib:PMID: 27217383;Cisplatin:PMID: 27646943||Nutlin-3a:PMID:  27813088
TP53		29.10%	HCC	29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Pramlintide:PMID: 25409149||AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Decitabine:PMID: 27959731;Doxorubicin:PMID: 27397505;Gemcitabine:PMID: 27397505;Mitomycin C:PMID: 27397505;MK-1775:NCT01357161,ASCO2015 (abstr 2507);Pramlintide:PMID: 25409149||HSP90 inhibitors:PMID: 26009011||HSP90 inhibitors:PMID: 26009011||Nutlin-3a:PMID:  27813088	Abemaciclib:PMID: 27217383;Cisplatin:PMID: 27646943||Nutlin-3a:PMID:  27813088
TP53	mut	31.00%	p53-Rb pathway	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Pramlintide:PMID: 25409149||AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Decitabine:PMID: 27959731;Doxorubicin:PMID: 27397505;Gemcitabine:PMID: 27397505;Mitomycin C:PMID: 27397505;MK-1775:NCT01357161,ASCO2015 (abstr 2507);Pramlintide:PMID: 25409149||HSP90 inhibitors:PMID: 26009011||HSP90 inhibitors:PMID: 26009011||Nutlin-3a:PMID:  27813088	Abemaciclib:PMID: 27217383;Cisplatin:PMID: 27646943||Nutlin-3a:PMID:  27813088
TP53	mut	24.35%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）	AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Pramlintide:PMID: 25409149||AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Decitabine:PMID: 27959731;Doxorubicin:PMID: 27397505;Gemcitabine:PMID: 27397505;Mitomycin C:PMID: 27397505;MK-1775:NCT01357161,ASCO2015 (abstr 2507);Pramlintide:PMID: 25409149||HSP90 inhibitors:PMID: 26009011||HSP90 inhibitors:PMID: 26009011||Nutlin-3a:PMID:  27813088	Abemaciclib:PMID: 27217383;Cisplatin:PMID: 27646943||Nutlin-3a:PMID:  27813088
TP53	mut	23.00%		28843658	research	7.43	2017	0	85%的原发瘤和转移瘤中存在TP53\CTNNB1\TERT突变	AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Pramlintide:PMID: 25409149||AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Decitabine:PMID: 27959731;Doxorubicin:PMID: 27397505;Gemcitabine:PMID: 27397505;Mitomycin C:PMID: 27397505;MK-1775:NCT01357161,ASCO2015 (abstr 2507);Pramlintide:PMID: 25409149||HSP90 inhibitors:PMID: 26009011||HSP90 inhibitors:PMID: 26009011||Nutlin-3a:PMID:  27813088	Abemaciclib:PMID: 27217383;Cisplatin:PMID: 27646943||Nutlin-3a:PMID:  27813088
TP53	mut	27%（251/928)	p53/cell cycle control	26099984	Review	4.91	2015	86		AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Pramlintide:PMID: 25409149||AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Decitabine:PMID: 27959731;Doxorubicin:PMID: 27397505;Gemcitabine:PMID: 27397505;Mitomycin C:PMID: 27397505;MK-1775:NCT01357161,ASCO2015 (abstr 2507);Pramlintide:PMID: 25409149||HSP90 inhibitors:PMID: 26009011||HSP90 inhibitors:PMID: 26009011||Nutlin-3a:PMID:  27813088	Abemaciclib:PMID: 27217383;Cisplatin:PMID: 27646943||Nutlin-3a:PMID:  27813088
TP53	del	3.7%（20/547)	TP53/cell-cycle control	26099984	Review	4.91	2015	86		AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Pramlintide:PMID: 25409149||AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Decitabine:PMID: 27959731;Doxorubicin:PMID: 27397505;Gemcitabine:PMID: 27397505;Mitomycin C:PMID: 27397505;MK-1775:NCT01357161,ASCO2015 (abstr 2507);Pramlintide:PMID: 25409149||HSP90 inhibitors:PMID: 26009011||HSP90 inhibitors:PMID: 26009011||Nutlin-3a:PMID:  27813088	Abemaciclib:PMID: 27217383;Cisplatin:PMID: 27646943||Nutlin-3a:PMID:  27813088
TP53	mut	31.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中.该研究显示肝癌患者CLA4\PD1\PDL1药物获益可能较高	AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Pramlintide:PMID: 25409149||AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Decitabine:PMID: 27959731;Doxorubicin:PMID: 27397505;Gemcitabine:PMID: 27397505;Mitomycin C:PMID: 27397505;MK-1775:NCT01357161,ASCO2015 (abstr 2507);Pramlintide:PMID: 25409149||HSP90 inhibitors:PMID: 26009011||HSP90 inhibitors:PMID: 26009011||Nutlin-3a:PMID:  27813088	Abemaciclib:PMID: 27217383;Cisplatin:PMID: 27646943||Nutlin-3a:PMID:  27813088
TP53		27.00%		.	.	.	.	.	来源于cosmic	AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Pramlintide:PMID: 25409149||AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Decitabine:PMID: 27959731;Doxorubicin:PMID: 27397505;Gemcitabine:PMID: 27397505;Mitomycin C:PMID: 27397505;MK-1775:NCT01357161,ASCO2015 (abstr 2507);Pramlintide:PMID: 25409149||HSP90 inhibitors:PMID: 26009011||HSP90 inhibitors:PMID: 26009011||Nutlin-3a:PMID:  27813088	Abemaciclib:PMID: 27217383;Cisplatin:PMID: 27646943||Nutlin-3a:PMID:  27813088
TP53	mut	30.00%	cell cycle control	27262756	Review	7.43	2016	12		AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Pramlintide:PMID: 25409149||AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Decitabine:PMID: 27959731;Doxorubicin:PMID: 27397505;Gemcitabine:PMID: 27397505;Mitomycin C:PMID: 27397505;MK-1775:NCT01357161,ASCO2015 (abstr 2507);Pramlintide:PMID: 25409149||HSP90 inhibitors:PMID: 26009011||HSP90 inhibitors:PMID: 26009011||Nutlin-3a:PMID:  27813088	Abemaciclib:PMID: 27217383;Cisplatin:PMID: 27646943||Nutlin-3a:PMID:  27813088
