Hybridization REF	CTBP1|1487	AR|367
TCGA-M7-A724-01A-12R-A32O-07	7537.8961	147.0504
TCGA-G9-A9S4-01A-11R-A41O-07	7255.7669	250.2142
TCGA-M7-A71Z-01A-12R-A32O-07	6723.3401	145.2429
TCGA-KK-A7AZ-01A-12R-A32O-07	6472.3589	286.5045
TCGA-QU-A6IN-01A-11R-A31N-07	6393.7452	33.3516
TCGA-EJ-A65D-01A-11R-A30B-07	6310.4081	83.5179
TCGA-V1-A9OT-01A-11R-A41O-07	6278.8298	77.7926
TCGA-J4-A67N-01A-11R-A30B-07	6202.8148	71.9577
TCGA-J9-A52B-01A-11R-A26U-07	6200.3772	206.9204
TCGA-HC-8265-01A-11R-2263-07	6154.0636	417.7844
TCGA-G9-6362-01A-11R-1789-07	6082.8128	83.0744
TCGA-KK-A6E4-01A-11R-A30B-07	6054.632	48.078
TCGA-YL-A9WL-01A-11R-A41O-07	5969.2076	829.6056
TCGA-H9-A6BY-01A-11R-A30B-07	5891.3462	42.0406
TCGA-ZG-A9KY-01A-11R-A41O-07	5877.161	1496.5944
TCGA-HC-7752-01A-11R-2118-07	5861.957	234.9889
TCGA-J4-A67S-01A-11R-A30B-07	5843.8262	32.318
TCGA-J4-A67K-01A-21R-A30B-07	5842.1371	61.5616
TCGA-EJ-A46F-01A-31R-A250-07	5678.1964	36.6545
TCGA-VN-A88M-01A-11R-A352-07	5645.4933	91.6521
TCGA-HC-A6AQ-01A-11R-A30B-07	5575.3166	47.1281
TCGA-KK-A59Y-01A-11R-A26U-07	5516.8487	103.8204
TCGA-G9-6339-01A-12R-A311-07	5503.645	62.6106
TCGA-G9-A9S7-01A-11R-A41O-07	5480.3962	157.2712
TCGA-KC-A7F6-01A-11R-A33R-07	5431.4581	231.8909
TCGA-G9-6369-01A-21R-1965-07	5420.4523	162.3423
TCGA-HC-A6HY-01A-11R-A31N-07	5407.8197	77.1823
TCGA-EJ-A7NF-01A-11R-A33R-07	5393.2314	252.7899
TCGA-V1-A9ZI-01A-11R-A41O-07	5364.9393	149.0468
TCGA-KK-A8I4-01A-11R-A36G-07	5342.7439	226.2961
TCGA-HI-7171-01A-12R-2118-07	5313.6156	540.4619
TCGA-EJ-7325-01B-11R-A32O-07	5312.3154	100.1252
TCGA-V1-A8WV-01A-11R-A37L-07	5266.6126	159.0264
TCGA-KK-A8I8-01A-11R-A36G-07	5253.082	473.7705
TCGA-XJ-A83F-01A-11R-A352-07	5245.0593	104.2419
TCGA-EJ-7318-01B-11R-A32O-07	5227.7192	101.8552
TCGA-VN-A88Q-01A-11R-A352-07	5130.991	417.1946
TCGA-G9-6373-01A-11R-1789-07	5056.364	168.1799
TCGA-KK-A7B3-01A-11R-A33R-07	5015.5198	206.7511
TCGA-YL-A8SF-01A-11R-A37L-07	4925.2737	383.9627
TCGA-G9-7525-01A-31R-2263-07	4924.0105	237.1677
TCGA-V1-A8WS-01A-11R-A37L-07	4895.4016	419.3548
TCGA-2A-A8VL-01A-21R-A37L-07	4872.0494	297.1164
TCGA-J9-A52E-01A-11R-A26U-07	4860.9045	101.6532
TCGA-J4-A67Q-01A-21R-A30B-07	4856.6512	20.557
TCGA-G9-6353-01A-11R-1965-07	4847.9882	420.1183
TCGA-HC-8257-01A-11R-2263-07	4836	702.9204
TCGA-J9-A8CM-01A-11R-A352-07	4829.7487	267.9868
TCGA-HC-A6AS-01A-11R-A30B-07	4808.9498	58.159
TCGA-KC-A7FA-01A-21R-A33R-07	4762.573	246.4127
TCGA-G9-6362-11A-01R-1789-07	4762.1079	191.7367
