NCT Number	Status	Study Results	Interventions	Outcome Measures	Phases	URL
NCT01877187	Active, not recruiting	No Results Available	Drug: Lipiodol	Tumor response by Response Evaluation Criteria in Solid Tumors (RECIST)|6-month survival rate of patients with HCC and liver metastases treated with conventional TACE	Phase 2	https://ClinicalTrials.gov/show/NCT01877187
NCT02557503	Unknown status	No Results Available	Drug: Oxaliplatin and fluorouracil	Progression-free survival (PFS)|overall survival (OS)	Phase 4	https://ClinicalTrials.gov/show/NCT02557503
NCT02753881	Recruiting	No Results Available	Drug: whole liver lobe cTACE doxorubicin|Drug: superselective cTACE doxorubicin	Pharmacokinetics profile-- peak of plasma concentration|Pharmacokinetics profile-- time of maximum concentration|Pharmacokinetics profile-- area under the concentration time curve|Incidence of feasibility/technical success of the cTACE procedure.|Frequency of toxicities from cTACE procedure measured using NCI Common Toxicity Criteria v.4.0|Assessment of toxicities by time from cTACE procedure using NCI Common Toxicity Criteria v.4.0	Phase 1	https://ClinicalTrials.gov/show/NCT02753881
NCT01164202	Completed	No Results Available	Drug: sunitinib malate|Drug: Placebo|Procedure: transarterial chemoembolization	Occurrence of severe bleeding or liver failure|Overall survival|Toxicities|Disease-free survival	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT01164202
NCT00128596	Completed	No Results Available	Drug: arsenic trioxide	Efficacy|Safety and tolerability	Phase 2	https://ClinicalTrials.gov/show/NCT00128596
NCT00949182	Completed	No Results Available	Drug: sorafenib tosylate, HACE : Doxorubicin Hydrochloride and Mitomycin C|Other: laboratory biomarker analysis	Safety and tolerability as assessed by NCI CTCAE v3.0|Number of hepatic arterial chemoembolization (HACE) treatments required to achieve objective complete response|Progression-free survival and time to radiologic progression as assessed by CT scan|Overall survival at 6, 12, and 24 months|AFP and VEGF serum levels as assessed at baseline, prior to each HACE treatment, and then every 3 months thereafter	Phase 2	https://ClinicalTrials.gov/show/NCT00949182
NCT02013830	Completed	Has Results	Drug: bevacizumab [Avastin]|Drug: capecitabine [Xeloda]	Percentage of Participants With Objective Response (OR)|Percentage of Participants With Disease Control|Time to Disease Progression - Percentage of Participants With an Event|Time to Disease Progression|Time to Disease Progression - Percentage of Participants Progression-free at 12 Months|Overall Survival - Percentage of Participants With an Event|Overall Survival|Overall Survival - Percentage of Participants Event Free at 12 Months	Phase 2	https://ClinicalTrials.gov/show/NCT02013830
NCT00867321	Completed	Has Results	Biological: bevacizumab|Drug: sorafenib tosylate	Maximum Tolerated Dose (Phase I)|Time to Progression (TTP) (Phase II)|Overall Survival|Tumor Response at 6 Months	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00867321
NCT01324076	Unknown status	No Results Available	Drug: doxorubicin-eluting beads|Drug: sorafenib tosylate|Other: laboratory biomarker analysis|Other: pharmacogenomic studies|Other: pharmacological study|Procedure: quality-of-life assessment	Progression-free survival|Overall survival|Time to progression|Toxicity|Disease control (complete or partial response or stable disease)|Quality of life	Phase 3	https://ClinicalTrials.gov/show/NCT01324076
NCT03092895	Recruiting	No Results Available	Biological: SHR-1210|Drug: Apatinib|Drug: FOLFOX4	The safety and tolerability|Objective Response Rate (ORR)|Duration of Response (DoR)|Disease Control Rate (DCR)|Time to Progression (TTP)|Overall Survival	Phase 2	https://ClinicalTrials.gov/show/NCT03092895
NCT00605722	Completed	Has Results	Drug: bevacizumab (Avastin)|Drug: erlotinib (Tarceva)	Percentage of Participants With Progression-free Survival (PFS)|Overall Response Rate (ORR)|Disease Control Rate (DCR)|Time to Tumor Progression|Progression-free Survival (PFS)|Overall Survival (OS)|Number of Participants With Adverse Events (AEs) and Serious Adverse Events (SAEs)	Phase 2	https://ClinicalTrials.gov/show/NCT00605722
NCT00087282	Completed	No Results Available	Drug: alvocidib|Drug: irinotecan hydrochloride		Phase 2	https://ClinicalTrials.gov/show/NCT00087282
NCT00717756	Completed	Has Results	Drug: lenalidomide	Response Rate by Recist Criteria	Phase 2	https://ClinicalTrials.gov/show/NCT00717756
NCT00006006	Completed	No Results Available	Biological: recombinant interferon alfa|Drug: thalidomide		Phase 2	https://ClinicalTrials.gov/show/NCT00006006
NCT02069145	Completed	No Results Available	Drug: OMP-54F28 with Sorafenib	Safety and tolerability of OMP-54F28 in combination with sorafenib in patients with hepatocellular cancer|Pharmacokinetics (PK) of OMP-54F28 and sorafenib when administered in combination to patients with hepatocellular cancer	Phase 1	https://ClinicalTrials.gov/show/NCT02069145
NCT00077142	Completed	No Results Available	Drug: TAC-101	Maximum Tolerated Dose (MTD) of TAC-101	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00077142
NCT02626312	Recruiting	No Results Available	Radiation: Radiation Therapy|Drug: Chemotherapy|Behavioral: Questionnaire	Maximum Dose Constraints (MDC) for Two Radiation Regimens|Local Disease Control Rate	Phase 1	https://ClinicalTrials.gov/show/NCT02626312
NCT02321202	Completed	No Results Available	Drug: Omega-3 Fatty Acid-Based Parenteral Nutrition|Drug: Structolipid	complications (blood test for liver and renal function, urine output, postoperative complications)|hospital stay (time of hospital stay after surgery)|mortality	Phase 4	https://ClinicalTrials.gov/show/NCT02321202
NCT00003912	Completed	No Results Available	Drug: carboplatin|Drug: cisplatin|Drug: doxorubicin hydrochloride|Procedure: conventional surgery	Tumor response|Complete resection rate|Overall survival|Event-free survival|Toxicity|Response rate|Resection rate	Phase 3	https://ClinicalTrials.gov/show/NCT00003912
NCT00003044	Unknown status	No Results Available	Drug: cisplatin-e therapeutic implant		Phase 2	https://ClinicalTrials.gov/show/NCT00003044
NCT02716012	Recruiting	No Results Available	Drug: MTL-CEBPA	Incidence of Grade 3 or 4 drug related adverse events and clinical lab abnormalities defined as Dose Limiting Toxicities (DLTs) using NCI CTCAE v 4.03|Recommended Phase 2 Dose (RP2D) of MTL-CEBPA defined as the most appropriate dose to maximise a favourable risk/benefit reward for the participant population|Total Active Pharmaceutical Ingredient (API) levels in plasma.|Preliminary evidence of liver function improvement	Phase 1	https://ClinicalTrials.gov/show/NCT02716012
NCT00191412	Completed	No Results Available	Drug: Pemetrexed	Antitumor activity as measured by Response Evaluation Criteria in Solid Tumors|Toxicity measured by CTCAE grading|Duration of response: First complete or partial response until progressive disease (PD) or death of any cause|Duration of stable disease: Enrollment to PD or death of any cause|Time to treatment failure: Enroll. to PD, death of any cause, early discontinuation of treatment for any reason other than adequate response or start of new therapy|Progression-free survival: Enroll. to PD or death of any cause|Overall survival: Enroll. to death of any cause	Phase 2	https://ClinicalTrials.gov/show/NCT00191412
