Drugname	NCIDS:Phase:Status:Literature	Targets
thiotepa	NCT00002515:Phase 2:Completed:No publish	html not right
topotecan hydrochloride	NCT00002515:Phase 2:Completed:No publish	html not right
mesna	NCT00002854:Phase 1:Completed:No publish	html not right
ifosfamide	NCT00002854:Phase 1:Completed:No publish;;NCT00003597:Phase 1:Completed:Angiolillo AL, Davenport V, Bonilla MA, van de Ven C, Ayello J, Militano O, Miller LL, Krailo M, Reaman G, Cairo MS; Children's Oncology Group. A phase I clinical, pharmacologic, and biologic study of thrombopoietin and granulocyte colony-stimulating factor in children receiving ifosfamide, carboplatin, and etoposide chemotherapy for recurrent or refractory solid tumors: a Children's Oncology Group experience. Clin Cancer Res. 2005 Apr 1;11(7):2644-50.	Html not right
paclitaxel	NCT00002854:Phase 1:Completed:No publish;;NCT01953926:Phase 2:Recruiting:No publish;;NCT00508326:Phase 1:Completed:No publish	html not right
cisplatin-e therapeutic implant	NCT00003044:Phase 2:Unknown status:No publish	html not right
pegylated liposomal doxorubicin hydrochloride	NCT00003296:Phase 2:Unknown status:No publish	html not right
tamoxifen citrate	NCT00003424:Phase 3:Completed:No publish	html not right
aminocamptothecin colloidal dispersion	NCT00003548:Phase 1:Completed:No publish	html not right
dolastatin 10	NCT00003557:Phase 2:Completed:No publish	html not right
doxorubicin	NCT00003907:Phase 2:Completed:No publish;;NCT00083226:Phase 2:Completed:No publish;;NCT03533582:Phase 2|Phase 3:Recruiting:No publish;;NCT00988195:Phase 1:Completed:No publish;;NCT01858207:Phase 2:Unknown status:No publish;;NCT03017326:Phase 3:Recruiting:No publish;;NCT01272557:Phase 2:Unknown status:No publish;;NCT03145558:Phase 2:Recruiting:No publish;;NCT01840592:Phase 2:Active, not recruiting:No publish;;NCT01655693:Phase 3:Active, not recruiting:No publish;;NCT00990860:Phase 2:Unknown status:No publish;;NCT00471965:Phase 3:Completed:No publish	html not right
mitomycin	NCT00003907:Phase 2:Completed:No publish;;NCT01004978:Phase 3:Active, not recruiting:No publish	html not right
carboplatin	NCT00003912:Phase 3:Completed:Perilongo G, Maibach R, Shafford E, Brugieres L, Brock P, Morland B, de Camargo B, Zsiros J, Roebuck D, Zimmermann A, Aronson D, Childs M, Widing E, Laithier V, Plaschkes J, Pritchard J, Scopinaro M, MacKinlay G, Czauderna P. Cisplatin versus cisplatin plus doxorubicin for standard-risk hepatoblastoma. N Engl J Med. 2009 Oct 22;361(17):1662-70. doi: 10.1056/NEJMoa0810613.;;NCT00875615:Phase 2:Completed:No publish;;NCT00077389:Phase 2:Unknown status:No publish;;NCT00003994:Phase 3:Completed:No publish;;NCT03533582:Phase 2|Phase 3:Recruiting:No publish;;NCT00486356:Phase 1:Completed:No publish;;NCT00021047:Phase 1|Phase 2:Completed:No publish;;NCT00007813:Phase 1:Unknown status:Leung W, Chen AR, Klann RC, Moss TJ, Davis JM, Noga SJ, Cohen KJ, Friedman AD, Small D, Schwartz CL, Borowitz MJ, Wharam MD, Paidas CN, Long CA, Karandish S, McMannis JD, Kastan MB, Civin CI. Frequent detection of tumor cells in hematopoietic grafts in neuroblastoma and Ewing's sarcoma. Bone Marrow Transplant. 1998 Nov;22(10):971-9.;;NCT00002515:Phase 2:Completed:No publish;;NCT00303940:Phase 1:Completed:Meany H, Balis FM, Aikin A, Whitcomb P, Murphy RF, Steinberg SM, Widemann BC, Fox E. Pediatric phase I trial design using maximum target inhibition as the primary endpoint. J Natl Cancer Inst. 2010 Jun 16;102(12):909-12. doi: 10.1093/jnci/djq174. Epub 2010 May 11.;;NCT00002854:Phase 1:Completed:No publish;;NCT02755311:Phase 3:Unknown status:No publish;;NCT03017326:Phase 3:Recruiting:No publish;;NCT00003597:Phase 1:Completed:Angiolillo AL, Davenport V, Bonilla MA, van de Ven C, Ayello J, Militano O, Miller LL, Krailo M, Reaman G, Cairo MS; Children's Oncology Group. A phase I clinical, pharmacologic, and biologic study of thrombopoietin and granulocyte colony-stimulating factor in children receiving ifosfamide, carboplatin, and etoposide chemotherapy for recurrent or refractory solid tumors: a Children's Oncology Group experience. Clin Cancer Res. 2005 Apr 1;11(7):2644-50.	Html not right
cisplatin	NCT00003912:Phase 3:Completed:Perilongo G, Maibach R, Shafford E, Brugieres L, Brock P, Morland B, de Camargo B, Zsiros J, Roebuck D, Zimmermann A, Aronson D, Childs M, Widing E, Laithier V, Plaschkes J, Pritchard J, Scopinaro M, MacKinlay G, Czauderna P. Cisplatin versus cisplatin plus doxorubicin for standard-risk hepatoblastoma. N Engl J Med. 2009 Oct 22;361(17):1662-70. doi: 10.1056/NEJMoa0810613.;;NCT00875615:Phase 2:Completed:No publish;;NCT00276705:Phase 2:Unknown status:No publish;;NCT00652132:Phase 3:Completed:No publish;;NCT00003907:Phase 2:Completed:No publish;;NCT00077389:Phase 2:Unknown status:No publish;;NCT01042041:Phase 1:Completed:No publish;;NCT00003994:Phase 3:Completed:No publish;;NCT03533582:Phase 2|Phase 3:Recruiting:No publish;;NCT00304135:Phase 2|Phase 3:Completed:Phelip JM, Vendrely V, Rostain F, Subtil F, Jouve JL, Gasmi M, Michel P, Le Malicot K, Smith D, Seitz JF, Fauchart JP, Martin P, Bennouna J, Morin T, Bonnet I, Maingon P, Lepage C, Chauffert B. Gemcitabine plus cisplatin versus chemoradiotherapy in locally advanced biliary tract cancer: F��d��ration Francophone de Canc��rologie Digestive 9902 phase II randomised study. Eur J Cancer. 2014 Nov;50(17):2975-82. doi: 10.1016/j.ejca.2014.08.013. Epub 2014 Sep 17.;;NCT01004978:Phase 3:Active, not recruiting:No publish;;NCT00980460:Phase 3:Active, not recruiting:No publish;;NCT00010023:Phase 1:Completed:Chen TT, Ryan T, Potmesil M, et al.: Cisplatin/capecitabine: tolerance and activity in patients with upper gastrointestinal cancers. [Abstract] American Society of Clinical Oncology 2004 Gastrointestinal Cancers Symposium, 22-24 January 2004, San Francisco, CA. A-53, 2004.;;NCT00002854:Phase 1:Completed:No publish;;NCT00843934:Phase 2|Phase 3:Unknown status:No publish;;NCT03017326:Phase 3:Recruiting:No publish;;NCT03268499:Phase 2:Recruiting:No publish;;NCT00524498:Phase 2:Completed:No publish;;NCT00507962:Phase 1:Completed:No publish;;NCT00023868:Phase 3:Completed:No publish	Html not right
doxorubicin hydrochloride	NCT00003912:Phase 3:Completed:Perilongo G, Maibach R, Shafford E, Brugieres L, Brock P, Morland B, de Camargo B, Zsiros J, Roebuck D, Zimmermann A, Aronson D, Childs M, Widing E, Laithier V, Plaschkes J, Pritchard J, Scopinaro M, MacKinlay G, Czauderna P. Cisplatin versus cisplatin plus doxorubicin for standard-risk hepatoblastoma. N Engl J Med. 2009 Oct 22;361(17):1662-70. doi: 10.1056/NEJMoa0810613.;;NCT01011010:Phase 1:Completed:No publish;;NCT00004248:Phase 2:Completed:No publish;;NCT00012324:Phase 3:Completed:Gish RG, Porta C, Lazar L, Ruff P, Feld R, Croitoru A, Feun L, Jeziorski K, Leighton J, Gallo J, Kennealey GT. Phase III randomized controlled trial comparing the survival of patients with unresectable hepatocellular carcinoma treated with nolatrexed or doxorubicin. J Clin Oncol. 2007 Jul 20;25(21):3069-75.;;NCT00471484:Phase 2:Unknown status:Ang MK, Poon D, Foo KF, Chung YF, Chow P, Wan WK, Thng CH, Ooi L. A new chemoimmunotherapy regimen (OXAFI) for advanced hepatocellular carcinoma. Hematol Oncol Stem Cell Ther. 2008 Jul-Sep;1(3):159-65.;;NCT00079027:Phase 3:Unknown status:No publish;;NCT00276705:Phase 2:Unknown status:No publish;;NCT00047229:Phase 2:Completed:Knox JJ, Chen XE, Feld R, Nematollahi M, Cheiken R, Pond G, Zwiebel JA, Gill S, Moore M. A phase I-II study of oblimersen sodium (G3139, Genasense) in combination with doxorubicin in advanced hepatocellular carcinoma (NCI # 5798). Invest New Drugs. 2008 Apr;26(2):193-4. Epub 2007 Dec 4.;;NCT00006016:Phase 2:Completed:No publish;;NCT00077389:Phase 2:Unknown status:No publish;;NCT01042041:Phase 1:Completed:No publish;;NCT01004978:Phase 3:Active, not recruiting:No publish;;NCT01015833:Phase 3:Active, not recruiting:No publish;;NCT00980460:Phase 3:Active, not recruiting:No publish;;NCT00720174:Phase 1:Completed:No publish;;NCT00023868:Phase 3:Completed:No publish	html not right
porfimer sodium	NCT00003923:Phase 2:Completed:No publish	html not right
amifostine trihydrate	NCT00003994:Phase 3:Completed:No publish	html not right
vincristine sulfate	NCT00003994:Phase 3:Completed:No publish;;NCT03533582:Phase 2|Phase 3:Recruiting:No publish;;NCT00980460:Phase 3:Active, not recruiting:No publish	html not right
