Clinname	Result
NCT01877187	No publish
NCT01877187	No publish
NCT02557503	No publish
NCT02753881	No publish
NCT01164202	No publish
NCT00128596	No publish
NCT00949182	No publish
NCT02013830	No publish
NCT00867321	No publish
NCT01324076	No publish
NCT03092895	No publish
NCT00605722	No publish
NCT00087282	No publish
NCT00717756	Safran H, Charpentier KP, Kaubisch A, Mantripragada K, Dubel G, Perez K, Faricy-Anderson K, Miner T, Eng Y, Victor J, Plette A, Espat J, Bakalarski P, Wingate P, Berz D, Luppe D, Martel D, Rosati K, Aparo S. Lenalidomide for second-line treatment of advanced hepatocellular cancer: a Brown University oncology group phase II study. Am J Clin Oncol. 2015 Feb;38(1):1-4. doi: 10.1097/COC.0b013e3182868c66.
NCT00006006	Schwartz JD, Sung M, Schwartz M, Lehrer D, Mandeli J, Liebes L, Goldenberg A, Volm M. Thalidomide in advanced hepatocellular carcinoma with optional low-dose interferon-alpha2a upon progression. Oncologist. 2005 Oct;10(9):718-27.
NCT02069145	No publish
NCT00077142	Higginbotham KB, Lozano R, Brown T, Patt YZ, Arima T, Abbruzzese JL, Thomas MB. A phase I/II trial of TAC-101, an oral synthetic retinoid, in patients with advanced hepatocellular carcinoma. J Cancer Res Clin Oncol. 2008 Dec;134(12):1325-35. doi: 10.1007/s00432-008-0406-2. Epub 2008 May 27.
NCT02321202	No publish
NCT00003912	Perilongo G, Maibach R, Shafford E, Brugieres L, Brock P, Morland B, de Camargo B, Zsiros J, Roebuck D, Zimmermann A, Aronson D, Childs M, Widing E, Laithier V, Plaschkes J, Pritchard J, Scopinaro M, MacKinlay G, Czauderna P. Cisplatin versus cisplatin plus doxorubicin for standard-risk hepatoblastoma. N Engl J Med. 2009 Oct 22;361(17):1662-70. doi: 10.1056/NEJMoa0810613.
NCT00003044	No publish
NCT02716012	No publish
NCT00191412	No publish
NCT01182272	No publish
NCT01075113	No publish
NCT01005199	No publish
NCT02292173	No publish
NCT00881751	No publish
NCT03143270	No publish
NCT00875615	No publish
NCT01011010	No publish
NCT01075555	No publish
NCT00410956	Kemeny NE, Schwartz L, G nen M, Yopp A, Gultekin D, D'Angelica MI, Fong Y, Haviland D, Gewirtz AN, Allen P, Jarnagin WR. Treating primary liver cancer with hepatic arterial infusion of floxuridine and dexamethasone: does the addition of systemic bevacizumab improve results? Oncology. 2011;80(3-4):153-9. doi: 10.1159/000324704. Epub 2011 Jun 14.
NCT00941967	No publish
NCT00003424	No publish
NCT00514228	Koeberle D, Montemurro M, Samaras P, Majno P, Simcock M, Limacher A, Lerch S, Kov��cs K, Inauen R, Hess V, Saletti P, Borner M, Roth A, Bodoky G. Continuous Sunitinib treatment in patients with advanced hepatocellular carcinoma: a Swiss Group for Clinical Cancer Research (SAKK) and Swiss Association for the Study of the Liver (SASL) multicenter phase II trial (SAKK 77/06). Oncologist. 2010;15(3):285-92. doi: 10.1634/theoncologist.2009-0316. Epub 2010 Mar 4.
NCT00483405	Sanoff HK, Bernard S, Goldberg RM, Morse MA, Garcia R, Woods L, Moore DT, O'Neil BH. Phase II Study of Capecitabine, Oxaliplatin, and Cetuximab for Advanced Hepatocellular Carcinoma. Gastrointest Cancer Res. 2011 May;4(3):78-83.
NCT00467194	No publish
NCT00004248	No publish
NCT00054262	No publish
NCT00257426	No publish
NCT00335829	No publish
NCT00041275	Chow PK, Machin D, Chen Y, Zhang X, Win KM, Hoang HH, Nguyen BD, Jin MY, Lobo R, Findlay M, Lim CH, Tan SB, Gandhi M, Soo KC; Asia-Pacific Hepatocellular Carcinoma Trials Group. Randomised double-blind trial of megestrol acetate vs placebo in treatment-naive advanced hepatocellular carcinoma. Br J Cancer. 2011 Sep 27;105(7):945-52. doi: 10.1038/bjc.2011.333. Epub 2011 Aug 23.
NCT00030082	No publish
NCT00095992	Knox JJ, Gill S, Synold TW, Biagi JJ, Major P, Feld R, Cripps C, Wainman N, Eisenhauer E, Seymour L. A phase II and pharmacokinetic study of SB-715992, in patients with metastatic hepatocellular carcinoma: a study of the National Cancer Institute of Canada Clinical Trials Group (NCIC CTG IND.168). Invest New Drugs. 2008 Jun;26(3):265-72. doi: 10.1007/s10637-007-9103-2. Epub 2008 Jan 15.
NCT00058487	Zhu AX, Fuchs CS, Clark JW, Muzikansky A, Taylor K, Sheehan S, Tam K, Yung E, Kulke MH, Ryan DP. A phase II study of epirubicin and thalidomide in unresectable or metastatic hepatocellular carcinoma. Oncologist. 2005 Jun-Jul;10(6):392-8.
NCT00825955	No publish
NCT00006010	Alberts SR, Reid JM, Morlan BW, Farr GH Jr, Camoriano JK, Johnson DB, Enger JR, Seay TE, Kim GP. Gemcitabine and docetaxel for hepatocellular carcinoma: a phase II North Central Cancer Treatment Group clinical trial. Am J Clin Oncol. 2012 Oct;35(5):418-23.
NCT00004108	No publish
NCT00012324	Gish RG, Porta C, Lazar L, Ruff P, Feld R, Croitoru A, Feun L, Jeziorski K, Leighton J, Gallo J, Kennealey GT. Phase III randomized controlled trial comparing the survival of patients with unresectable hepatocellular carcinoma treated with nolatrexed or doxorubicin. J Clin Oncol. 2007 Jul 20;25(21):3069-75.
NCT00576199	No publish
NCT00471484	Ang MK, Poon D, Foo KF, Chung YF, Chow P, Wan WK, Thng CH, Ooi L. A new chemoimmunotherapy regimen (OXAFI) for advanced hepatocellular carcinoma. Hematol Oncol Stem Cell Ther. 2008 Jul-Sep;1(3):159-65.
NCT00079027	No publish
NCT00276705	No publish
NCT00047229	Knox JJ, Chen XE, Feld R, Nematollahi M, Cheiken R, Pond G, Zwiebel JA, Gill S, Moore M. A phase I-II study of oblimersen sodium (G3139, Genasense) in combination with doxorubicin in advanced hepatocellular carcinoma (NCI # 5798). Invest New Drugs. 2008 Apr;26(2):193-4. Epub 2007 Dec 4.
NCT03037437	No publish
NCT02181075	No publish
NCT00997022	No publish
NCT02829359	No publish
NCT01754987	No publish
NCT03397654	No publish
NCT01264705	No publish
NCT00706576	No publish
NCT00006198	No publish
NCT00813293	No publish
NCT00374660	No publish
NCT00057980	No publish
NCT01395030	No publish
NCT00652132	No publish
NCT00006016	No publish
NCT01236690	No publish
NCT00365391	No publish
NCT02862587	No publish
NCT00052364	No publish
NCT00003907	No publish
NCT01497444	No publish
NCT00093444	No publish
NCT00287976	No publish
NCT01932385	No publish
NCT00077389	No publish
NCT02649153	You XM, Mo XS, Ma L, Zhong JH, Qin HG, Lu Z, Xiang BD, Wu FX, Zhao XH, Tang J, Pang YH, Chen J, Li LQ. Randomized Clinical Trial Comparing Efficacy of Simo Decoction and Acupuncture or Chewing Gum Alone on Postoperative Ileus in Patients With Hepatocellular Carcinoma After Hepatectomy. Medicine (Baltimore). 2015 Nov;94(45):e1968. doi: 10.1097/MD.0000000000001968.
NCT03164382	No publish
NCT00242502	No publish
NCT02471313	No publish
NCT00861783	Jimeno A, Chan A, Cusatis G, Zhang X, Wheelhouse J, Solomon A, Chan F, Zhao M, Cosenza SC, Ramana Reddy MV, Rudek MA, Kulesza P, Donehower RC, Reddy EP, Hidalgo M. Evaluation of the novel mitotic modulator ON 01910.Na in pancreatic cancer and preclinical development of an ex vivo predictive assay. Oncogene. 2009 Jan 29;28(4):610-8. doi: 10.1038/onc.2008.424. Epub 2008 Nov 24.
NCT03184493	No publish
NCT00282100	No publish
NCT02646137	No publish
NCT03215355	No publish
NCT01042041	No publish
NCT02029157	No publish
NCT00247676	No publish
NCT00001587	No publish
NCT00003994	No publish
NCT01180959	No publish
NCT00250822	No publish
NCT01356628	No publish
NCT00321594	No publish
NCT01545804	No publish
NCT00238394	No publish
NCT00513461	No publish
NCT02174549	No publish
NCT00370513	No publish
NCT00728078	Chen MS, Li JQ, Zheng Y, Guo RP, Liang HH, Zhang YQ, Lin XJ, Lau WY. A prospective randomized trial comparing percutaneous local ablative therapy and partial hepatectomy for small hepatocellular carcinoma. Ann Surg. 2006 Mar;243(3):321-8.
NCT00845689	No publish
NCT02702323	No publish
NCT01033240	No publish
NCT00507585	No publish
NCT01624285	No publish
NCT00019786	Feldman AL, Libutti SK, Pingpank JF, Bartlett DL, Beresnev TH, Mavroukakis SM, Steinberg SM, Liewehr DJ, Kleiner DE, Alexander HR. Analysis of factors associated with outcome in patients with malignant peritoneal mesothelioma undergoing surgical debulking and intraperitoneal chemotherapy. J Clin Oncol. 2003 Dec 15;21(24):4560-7.
NCT00361309	No publish
NCT03352349	No publish
NCT00604721	No publish
NCT02509507	No publish
NCT00083226	No publish
NCT00077441	No publish
NCT00775073	No publish
NCT00001576	No publish
NCT01375569	No publish
NCT00071994	No publish
NCT00047346	No publish
NCT03259867	No publish
NCT00076609	No publish
NCT02695628	No publish
NCT03059238	Lv N, Kong Y, Mu L, Pan T, Xie Q, Zhao M. Effect of perioperative parecoxib sodium on postoperative pain control for transcatheter arterial chemoembolization for inoperable hepatocellular carcinoma: a prospective randomized trial. Eur Radiol. 2016 Oct;26(10):3492-9. doi: 10.1007/s00330-016-4207-8. Epub 2016 Jan 22.
NCT00980239	No publish
NCT02744248	No publish
NCT00555334	No publish
NCT02940496	No publish
NCT00829413	No publish
NCT00788697	No publish
NCT00587067	No publish
NCT00844168	No publish
NCT02911961	No publish
NCT01853618	No publish
NCT03151213	No publish
NCT02202564	No publish
NCT01008566	No publish
NCT03211416	No publish
NCT00542048	No publish
