Clinname	Result
Floxuridine	Html not right
Melphalan	Html not right
thiotepa	html not right
topotecan hydrochloride	html not right
mesna	html not right
paclitaxel	html not right
ifosfamide	Html not right
cisplatin-e therapeutic implant	html not right
pegylated liposomal doxorubicin hydrochloride	html not right
tamoxifen citrate	html not right
aminocamptothecin colloidal dispersion	html not right
dolastatin 10	html not right
mitomycin	html not right
doxorubicin	html not right
carboplatin	Html not right
cisplatin	Html not right
doxorubicin hydrochloride	html not right
porfimer sodium	html not right
vincristine sulfate	html not right
amifostine trihydrate	html not right
exatecan mesylate	html not right
Fluorouracil (5-FU)	html not right
tipifarnib	html not right
thalidomide	Html not right
docetaxel	html not right
Tetrathiomolybdate	html not right
etoposide	html not right
nolatrexed dihydrochloride	html not right
ondansetron	html not right
DetoxPC	html not right
hydroxyurea	html not right
doxorubicin HCl liposome	html not right
O6-benzylguanine	Html not right
FOLFIRI regimen	html not right
entinostat	html not right
isolated perfusion	html not right
melphalan	Html not right
fluorouracil (5-fu)	html not right
tetrathiomolybdate	html not right
detoxpc	html not right
doxorubicin hcl liposome	html not right
o6-benzylguanine	Html not right
folfiri regimen	html not right
ixabepilone	html not right
7-hydroxystaurosporine	html not right
abt-751	Html not right
megestrol acetate	html not right
intravenous t900607-sodium	html not right
bms-247550	html not right
t900607	html not right
mtc-dox for injection	html not right
aroplatin (liposomal nddp, l-nddp)	html not right
celecoxib	Html not right
epirubicin hydrochloride	html not right
pemetrexed disodium	html not right
boronophenylalanine-fructose complex	html not right
sodium borocaptate	html not right
gefitinib	Html not right
mb07133 300mg/m2/day	html not right
mb07133 600 mg/m2/day	html not right
mb07133 1200 mg/m2/day	html not right
mb07133 1800 mg/m2/day	html not right
mb07133 2400 mg/m2/day	html not right
capecitabine plus gemcitabine	html not right
forodesine hydrochloride	html not right
phy906	html not right
tac-101	html not right
idn-6556	html not right
rv-cea(6d)/tricom-rf-cea(6d)/tricom	html not right
rf-cea(6d)/tricom	html not right
recombinant fowlpox-gm-csf	html not right
