SAMPLE_ID	CTBP1	AR
TCGA-CH-5767-01	-1.6889	0.7262
TCGA-G9-6332-01	0.3511	-0.9044
TCGA-G9-6336-01	0.9573	-0.7768
TCGA-G9-6348-01	0.765	-0.9175
TCGA-G9-6356-01	0.3386	-0.3077
TCGA-G9-6362-01	2.6688	-1.0078
TCGA-G9-6363-01	-0.473	-0.9189
TCGA-G9-6364-01	0.0304	-0.0437
TCGA-G9-6365-01	0.6245	-0.8031
TCGA-G9-6367-01	0.2984	-0.1306
TCGA-G9-6370-01	-0.6222	0.0118
TCGA-G9-6371-01	0.1777	-0.3169
TCGA-G9-6373-01	1.592	-0.8484
TCGA-G9-6378-01	-0.3558	-0.7026
TCGA-G9-6384-01	-0.2282	1.2323
TCGA-G9-6385-01	0.3646	-0.3016
TCGA-G9-6494-01	0.0985	0.0274
TCGA-G9-6496-01	0.5296	-0.8755
TCGA-EJ-7123-01	-1.6494	1.4863
TCGA-EJ-7125-01	-2.7297	2.3126
TCGA-G9-6329-01	0.3747	-0.8979
TCGA-G9-6333-01	-0.7068	-0.8366
TCGA-G9-6338-01	0.0955	-0.8819
TCGA-G9-6342-01	0.4421	-0.525
TCGA-G9-6343-01	-0.2798	-0.8192
TCGA-G9-6351-01	0.3362	-0.7243
TCGA-G9-6353-01	1.3734	-0.3764
TCGA-G9-6361-01	0.9405	-0.7806
TCGA-G9-6369-01	1.974	-0.8593
TCGA-G9-6377-01	0.3815	-0.6122
TCGA-G9-6499-01	0.0942	-0.8339
TCGA-HC-7075-01	0.3724	0.6051
TCGA-HC-7077-01	0.5388	0.2467
TCGA-HC-7079-01	-0.6996	-0.4026
TCGA-HC-7080-01	0.0238	0.1758
TCGA-HC-7081-01	-0.1183	3.0309
TCGA-EJ-7115-01	-1.3524	0.4528
TCGA-EJ-7314-01	0.1596	0.6237
TCGA-EJ-7315-01	-1.3078	0.507
TCGA-EJ-7317-01	-0.9495	0.5476
TCGA-EJ-7327-01	-0.1414	2.1548
TCGA-EJ-7328-01	1.0335	-0.022
TCGA-EJ-7330-01	-1.1027	3.6783
TCGA-EJ-7331-01	-1.4864	3.2435
TCGA-EJ-7781-01	-1.0153	2.3931
TCGA-EJ-7782-01	0.0097	2.8905
TCGA-EJ-7783-01	-0.8839	3.8384
TCGA-EJ-7784-01	-0.0209	1.6121
TCGA-EJ-7785-01	-1.0097	2.2929
TCGA-EJ-7786-01	-0.7675	2.2037
