Drug	FDACANCER
ABC-294640	.
ABT-751	.
Alvocidib	.
AMG-386	.
Anlotinib	.
Apatinib	.
ARQ-087	.
ASLAN-001	.
ATG-008	.
Bavituximab	.
BAY-869766	.
BBI-503	.
BBI-608	.
Belinostat	Lymphoma;Peripheral T-cell Lymphoma
BGB-A317	.
BIIB022	.
Capivasertib	.
CBT-501	.
CF-102	.
CS-1008	.
Axitinib	Renal Cell Carcinoma
Bosutinib	Chronic Myelogenous Leukemia
AG-013736	.
Nilotinib	Chronic Myelogenous Leukemia
Ponatinib	Acute Lymphoblastic Leukemia;Chronic Myelogenous Leukemia
Tyrosine kinase inhibitor - NS	.
Cabozantinib	Renal Cell Carcinoma;Thyroid Cancer
Crizotinib	Non-Small Cell Lung Cancer
Dasatinib	Chronic Myelogenous Leukemia;Acute Lymphoblastic Leukemia;Leukemia
Foretinib	.
Imatinib	Chronic Myelogenous Leukemia;Gastrointestinal Stromal Tumor;Myeloproliferative Disorders;Chronic Eosinophilic Leukemia;Acute Lymphoblastic Leukemia;Dermatofibrosarcoma Protuberans;Hypereosinophilic Syndrome;Myelodysplastic Diseases;Systemic Mastocytosis
Trametinib	Melanoma, Metastatic;Thyroid Cancer;Non-Small Cell Lung Cancer
Vandetanib	Thyroid Cancer
Dabrafenib	Melanoma, Metastatic;Non-Small Cell Lung Cancer;Thyroid Cancer
AKT 抑制剂	.
BRAF 抑制剂	.
non-allosteric AKT 抑制剂	.
PI3K pathway 抑制剂	.
MK-2206	.
AZD5363	.
GSK2141795	.
Trastuzumab	Breast Cancer;Breast Cancer, Adjuvant;Breast Cancer, Metastatic;Esophageal Carcinoma;Gastric Cancer;Salivary Gland Cancer
Alectinib	Non-Small Cell Lung Cancer
Brigatinib	Non-Small Cell Lung Cancer
Ceritinib	Non-Small Cell Lung Cancer
Entrictinib	.
Lorlatinib	.
Sorafenib	Thyroid Cancer;Hepatic Tumor;Hepatocellular Carcinoma;Renal Cell Carcinoma
AZD6738	.
CHK1/2 抑制剂	.
Cisplatin	Bladder Cancer;Blood Cell Transplantation;Bone Marrow Transplantation;Brain Tumor;Cervical Cancer;Neuroblastoma;Non-Small Cell Lung Cancer;Osteogenic Sarcoma;Ovarian Cancer;Testicular Cancer
Olaparib	Ovarian Cancer;Breast Cancer, Metastatic
Temozolomide	Anaplastic Astrocytoma;Glioblastoma Multiforme;Anaplastic Oligodendroglioma;Melanoma;Melanoma, Metastatic
Irinotecan	Colorectal Cancer
Binimetinib	Melanoma, Metastatic
Cetuximab	Head and Neck Cancer;Non-Small Cell Lung Cancer;Colorectal Cancer;Pancreatic Cancer;Squamous Cell Carcinoma
Cobimetinib	Melanoma, Metastatic
Ipilimumab	Melanoma, Metastatic;Colorectal Cancer;Melanoma
Panitumumab	Colorectal Cancer
Selumetinib	.
Sunitinib	Gastrointestinal Stromal Tumor;Renal Cell Carcinoma;Pancreatic Cancer
Ibrutinib	Chronic Lymphocytic Leukemia;Mantle Cell Lymphoma;Graft-versus-host disease;Lymphoma;Non-Hodgkin's Lymphoma;Waldenström Macroglobulinemia
