Drug	targets
ABC-294640	.	.
ABT-751	Tubulin beta	ClinicalTrials.gov (NCT00436852) ABT-751 in Treating Children With Neuroblastoma That Has Relapsed or Not Responded to Previous Treatment. U.S. National Institutes of Health.;Interpreting expression profiles of cancers by genome-wide survey of breadth of expression in normal tissues. Genomics 2005 Aug;86(2):127-41.
BBI-503	.	.
BBI-608	.	ClinicalTrials.gov (NCT01830621) BBI608 and Best Supportive Care vs Placebo and Best Supportive Care in Patients With Pretreated Advanced Colorectal Carcinoma. U.S. National Institutes of Health.
Belinostat	.	.
Capivasertib	.	.
Axitinib	KDR	Nat Rev Drug Discov. 2013 Feb;12(2):87-90.;Axitinib: VEGF inhibition in advanced thyroid cancer. Lancet Oncol. 2014 Jul;15(8):e310.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5659).
Bosutinib	ABL1;SRC	ClinicalTrials.gov (NCT02311998) Phase I/II Study of Bosutinib in Combination With Inotuzumab Ozogamicin in CD22-positive Philadelphia-Chromosome (PC) Positive Acute Lymphoblastic Leukemia (ALL) and Chronic Myeloid Leukemia (CML). U.S. National Institutes of Health.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5710).;A comparison of physicochemical property profiles of marketed oral drugs and orally bioavailable anti-cancer protein kinase inhibitors in clinical development. Curr Top Med Chem. 2007;7(14):1408-22.
Nilotinib	ABL1	2007 FDA drug approvals: a year of flux. Nat Rev Drug Discov. 2008 Feb;7(2):107-9.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5697).
Ponatinib	FLT3;ABL1;KIT;RET	Nat Rev Drug Discov. 2013 Feb;12(2):87-90.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5890).;Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services. 2015
Tyrosine kinase inhibitor - NS	SRC;ABL1;LCK;FYN	2006 drug approvals: finding the niche. Nat Rev Drug Discov. 2007 Feb;6(2):99-101.;Dasatinib: a tyrosine kinase inhibitor for the treatment of chronic myelogenous leukemia and philadelphia chromosome-positive acute lymphoblastic leukemia. Clin Ther. 2007 Nov;29(11):2289-308.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5678).;Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services. 2015;Current and future treatments of bone metastases. Expert Opin Emerg Drugs. 2008 Dec;13(4):609-27.;Multi-target therapeutics: when the whole is greater than the sum of the parts. Drug Discov Today. 2007 Jan;12(1-2):34-42. Epub 2006 Nov 28.;A comparison of physicochemical property profiles of marketed oral drugs and orally bioavailable anti-cancer protein kinase inhibitors in clinical development. Curr Top Med Chem. 2007;7(14):1408-22.;In vitro and clinical investigation of the relationship between CCR5 receptor occupancy and anti-HIV activity of Aplaviroc. J Clin Pharmacol. 2008 Oct;48(10):1179-88. Epub 2008 Aug 1.
AKT 抑制剂	.	.
BRAF 抑制剂	.	.
non-allosteric AKT 抑制剂	.	.
PI3K pathway 抑制剂	.	.
AZD5363	AKT3	ClinicalTrials.gov (NCT02077569) AKT Inhibitor in Oestrogen Positive Breast Cancer. U.S. National Institutes of Health.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 7709).;The novel AKT inhibitor afuresertib shows favorable safety, pharmacokinetics, and clinical activity in multiple myeloma. Blood. 2014 Oct 2;124(14):2190-5.
GSK2141795	AKT3	ClinicalTrials.gov (NCT01958112) GSK1120212+GSK2141795 for Cervical Cancer. U.S. National Institutes of Health.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 7902).;Inhibiting the akt pathway in cancer treatment: three leading candidates. P T. 2011 Apr;36(4):225-7.;Discovery of novel AKT inhibitors with enhanced anti-tumor effects in combination with the MEK inhibitor. PLoS One. 2014 Jun 30;9(6):e100880.
Alectinib	.	Alectinib versus crizotinib in patients with ALK-positive non-small-cell lung cancer (J-ALEX): an open-label, randomised phase 3 trial.;The ChEMBL database in 2017.
Brigatinib	.	Drugs@FDA (Edaravone)
Ceritinib	.	Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services.;The ChEMBL database in 2017.
Entrictinib	.	.
Lorlatinib	.	.
