NCTID	nctstudycancer
NCT02939807	NCT02939807:Phase 2:Carcinoma, Hepatocellular
NCT00036959	NCT00036959:Phase 1:Brain and Central Nervous System Tumors;Childhood Germ Cell Tumor;Extragonadal Germ Cell Tumor;Kidney Cancer;Liver Cancer;Neuroblastoma;Ovarian Cancer;Sarcoma;Unspecified Childhood Solid Tumor, Protocol Specific
NCT00087282	NCT00087282:Phase 2:Liver Cancer
NCT00872014	NCT00872014:Phase 2:Advanced Hepatocellular Carcinoma;Inoperable Hepatocellular Carcinoma
NCT02809534	NCT02809534:Phase 2:Hepatocellular Carcinoma
NCT03092895	NCT03092895:Phase 2:Advanced Primary Liver Cancer;Advanced Biliary Tract Carcinoma
NCT03230318	NCT03230318:Phase 2:Intrahepatic Cholangiocarcinoma;Combined Hepatocellular and Cholangiocarcinoma
NCT03499626	NCT03499626:Phase 1|Phase 2:Advanced/ Metastatic Hepatocellular Carcinoma
NCT03591965	NCT03591965:Phase 2:Hepatocellular Carcinoma
NCT01264705	NCT01264705:Phase 1|Phase 2:Hepatocellular Carcinoma;Liver Cancer
NCT01204177	NCT01204177:Phase 2:Carcinoma, Hepatocellular
NCT02279719	NCT02279719:Phase 1|Phase 2:Hepatocellular Carcinoma
NCT00321594	NCT00321594:Phase 1|Phase 2:Adult Primary Hepatocellular Carcinoma;Advanced Adult Primary Liver Cancer;Localized Unresectable Adult Primary Liver Cancer;Recurrent Adult Primary Liver Cancer
NCT03419897	NCT03419897:Phase 2:Hepatocellular Carcinoma
NCT00956436	NCT00956436:Phase 1:Hepatocellular Carcinoma
