PMID	LetrID
22592842	15078898
22571356	15017451
21185752	15036286
23279643	15035926
20833655	15030174
16890578	6806861
17510308	6710981
21176721	15030598
18542936	10735026
15947090	6798631
19387626	15028878
19874474	10360309
19135231	14567202
18030307	10724912
19745563	14679001
18855533	8231783
19582440	14749751
23932037	15078589
18574025	6748972
23774101	15078704
24474498	15077085
25001883	15078544
22892446	15077985
22158446	14764055
23104259	15078797
25769357	15086200
27262824	15097578
24911077	15088948
25521356	15084737
21318593	15096058
20339978	14760905
18690342	15079301
20833980	7088970
20386359	15096042
25504915	15096012
26777610	15096650
19794411	6313610
26739746	15096651
23602689	15095163
21148049	14627548
25244877	15095174
26445138	15095379
22990331	15066396
22130800	15061106
27488176	15097737
27511999	15097738
27581200	15097857
28033245	15098358
28689179	15099565
29432897	15100440
28382498	15098712
28049362	15100521
29396738	15100223
11966680	10731003
10073515	6448410
10961881	10724452
19752777	8370842
11127854	6449090
18535201	6319361
9630825	14621322
10509530	15068074
20801494	6409981
19106083	3756874
19106084	3758294
19706858	4030436
20801498	6488905
20979470	6497267
21262992	6549691
20351750	6410044
21527445	7905819
21881565	8556229
22088980	14340531
22228204	14821546
22940005	15020719
21628721	14515414
21700758	14559613
22990067	15021368
23364775	15052132
21972404	12470700
19463375	3918263
19934793	4121548
21918510	8734990
22624833	15051844
22190063	14900326
22265638	15052254
18004210	3444973
22427735	15051862
18394438	3552368
20510210	14628483
21099121	14757809
17900275	3420982
20492469	14642439
17697139	3059892
19193675	3790446
19624462	3993698
21786436	14592830
18532997	3599216
20724801	15030110
21163112	15030590
19531897	3966945
19108880	3760434
20708365	15030061
21831410	15060217
21168310	14736123
21426546	15016612
21474982	15030855
18482659	3584785
20924183	15030301
18577829	3632659
16772608	2852138
18346178	3529483
19576320	3979189
20845077	15030207
18323861	3524467
20650435	8011476
24353446	15069381
20978260	7238118
20620727	14551423
24762860	15075632
20833683	15076182
22028352	15076434
25860557	15087731
25730082	15097391
27450232	15098051
28806186	15100516
20826260	6322023
20083681	4179683
23922007	15061529
29260275	15100113
19752885	6370842
23407050	15051118
22543981	15059382
18024866	6605709
7554699	15066324
16490169	8526959
17700359	3494652
23277250	15059271
24528284	15070965
24302953	15070840
22723326	15089200
22395643	15013844
22183189	15090060
22395644	15013873
23226070	15089296
26872113	15096879
29095089	15099529
26880915	15096861
18794727	6321119
18615004	6435307
15735607	8074493
18075464	7247772
14502278	6965721
15864115	7247789
22617224	15018178
12709726	6786342
16844790	8339226
24332148	15069410
28351962	15098703
18212314	712984
20017669	6392709
20212519	6329600
16361630	6491004
21047202	6577207
21824325	14963411
15521904	6661326
17495880	6695264
25014506	15078621
21206424	8450491
21076384	8450498
16267764	6378751
20526235	8450520
22015057	13915500
21331500	14171017
15622315	7042845
22108237	14821844
18309947	6950578
19467705	14736135
17510208	14662733
18221820	14166006
18444945	14694060
23873120	15061520
23837476	15060408
23774940	15061063
23778326	15059711
16321621	3216775
18382661	1949228
23900887	15061174
24189425	15066543
24384557	15068946
24262617	15066895
24052064	15065258
24019753	15062403
23149441	15067010
24013576	15074492
24444408	15074603
23733010	15065642
17568575	14659543
22310591	15067287
19644155	14663691
17700595	15067315
18582803	15028304
20030680	14615365
19067682	8452233
18443548	14730853
17430486	8452901
16906020	8453830
18334918	8452890
19125240	8452279
20415563	9295859
23146466	15067026
19384171	14419234
21677300	15031027
21851254	15067348
22369694	15067273
16146556	14929001
16249748	14523213
21886016	14247902
22786571	15020983
25201288	15081124
24739669	15085252
26565076	15095239
26961113	15096968
27020167	15097361
21097692	15030495
27977332	15098267
28812116	15099204
28676933	15099101
23783165	15099454
26644204	15098488
29991328	15100955
29343979	15100072
21723677	14737802
23240771	15069442
16595597	6790137
22385882	15021060
21114608	14737093
21989078	12327635
23873119	15061517
23305245	15035043
22179955	14839724
18187595	6477308
11692083	6449061
21047199	6573203
21068649	7271113
19617466	7273100
21121772	6501843
21537551	7931116
20602621	8206226
20089352	6548296
11337938	1136003
17681167	1946950
14707031	14901925
19233181	2166849
21883387	15021542
19891553	8132051
18950464	14353420
24442125	15077501
29577257	15100568
29425227	15100203
29273767	15100061
18357466	6360522
19786980	6394324
20638924	7028247
22188361	14893326
19052714	14522723
27574448	15097872
24557078	15070969
28346059	15098699
18381794	6328450
11710708	6480447
17488658	6352956
11418485	6356689
12453860	6356291
17976958	6398689
19648163	6435958
17512587	6355189
15385937	6355675
18580170	6432925
20863444	6328419
14647408	6337836
15781665	6338495
19005482	6473017
12915598	6357219
16920564	6497819
16501586	6498505
15051775	6499399
19307503	6578906
16019535	6642440
17323057	6642474
16870553	6642837
20472929	6624359
20595278	6624861
18458567	6625425
19016697	6397190
20514079	6625482
16013960	6669126
19159907	6674034
20819423	6681688
23089671	15024607
21931346	10273108
21747412	8449777
21605004	14487545
19384296	9466836
15208046	15066403
22926161	15020978
22838948	15018689
20714149	14858620
22143415	14927991
23407049	15051132
18285546	7266211
23095111	15053804
23314736	15059317
18622257	8478721
23736036	15062426
23648444	15072431
18987660	15072612
23775025	15071813
24167597	15077817
23263912	15075405
15973722	15074751
23488607	15077264
25007187	15078709
24241962	15079011
25041994	15079184
24732178	15081741
24725652	15084716
25303299	15083317
26014925	15089981
26630680	15096568
25778468	15093142
21644011	15030993
25110820	15097157
18299612	6656137
25065700	15097155
27399166	15097666
27995989	15098269
28691890	15099040
27790938	15098067
28696419	15099369
27864592	15098150
27557140	15097763
28592186	15098905
28745575	15099155
27992285	15098261
29134491	15099652
26967565	15100082
29589488	15100579
27738344	15100030
