TARGET_GENE	REGION
KDR	chr4:55946057..55946340..exon1,55948112..55948218..exon2,55948692..55948812..exon3,55953763..55953935..exon4,55955024..55955150..exon5,55955530..55955650..exon6,55955847..55955979..exon7,55956112..55956255..exon8,55958773..55958891..exon9,55960958..55961132..exon10,55961733..55961842..exon11,55962385..55962519..exon12,55963818..55963943..exon13,55964293..55964449..exon14,55964853..55964980..exon15,55968053..55968205..exon16,55968518..55968685..exon17,55970799..55971161..exon18,55971988..55972117..exon19,55972843..55972987..exon20,55973893..55974070..exon21,55976559..55976743..exon22,55976810..55976945..exon23,55979460..55979658..exon24,55980282..55980442..exon25,55981030..55981219..exon26,55981437..55981588..exon27,55984760..55984977..exon28,55987253..55987367..exon29,55991383..55991510..exon30
KIT	chr4:55524131..55524258..exon1,55561667..55561957..exon2,55564439..55564741..exon3,55565785..55565942..exon4,55569879..55570068..exon5,55573253..55573463..exon6,55575579..55575715..exon7,55589739..55589874..exon8,55592012..55592214..exon9,55592012..55592226..exon10,55593373..55593500..exon11,55593571..55593718..exon12,55593978..55594103..exon13,55594166..55594297..exon14,55595490..55595661..exon15,55597483..55597595..exon16,55598026..55598174..exon17,55599225..55599368..exon18,55602653..55602785..exon19,55602876..55602996..exon20,55603330..55603456..exon21,55604584..55604773..exon22
PDGFRB	chr5:149495275..149495519..exon1,149497170..149497423..exon2,149498299..149498425..exon3,149499019..149499139..exon4,149499564..149499696..exon5,149500440..149500583..exon6,149500756..149500895..exon7,149501432..149501613..exon8,149502594..149502774..exon9,149503802..149503933..exon10,149504279..149504404..exon11,149504997..149505150..exon12,149506072..149506187..exon13,149509309..149509541..exon14,149510091..149510235..exon15,149511531..149511667..exon16,149512302..149512515..exon17,149513138..149513333..exon18,149513433..149513581..exon19,149514302..149514589..exon20,149515107..149515451..exon21,149516560..149516660..exon22
RET	chr10:43572656..43572789..exon1,43595896..43596180..exon2,43597779..43598087..exon3,43600389..43600651..exon4,43601813..43602029..exon5,43604468..43604688..exon6,43606644..43606923..exon7,43607536..43607682..exon8,43608290..43608421..exon9,43608993..43609133..exon10,43609917..43610194..exon11,43612021..43612189..exon12,43613810..43613938..exon13,43614968..43615203..exon14,43615518..43615661..exon15,43617383..43617474..exon16,43619108..43619266..exon17,43620320..43620440..exon18,43622012..43622180..exon19,43622012..43622252..exon20,43623549..43623767..exon21
KDR	chr4:55946057..55946340..exon1,55948112..55948218..exon2,55948692..55948812..exon3,55953763..55953935..exon4,55955024..55955150..exon5,55955530..55955650..exon6,55955847..55955979..exon7,55956112..55956255..exon8,55958773..55958891..exon9,55960958..55961132..exon10,55961733..55961842..exon11,55962385..55962519..exon12,55963818..55963943..exon13,55964293..55964449..exon14,55964853..55964980..exon15,55968053..55968205..exon16,55968518..55968685..exon17,55970799..55971161..exon18,55971988..55972117..exon19,55972843..55972987..exon20,55973893..55974070..exon21,55976559..55976743..exon22,55976810..55976945..exon23,55979460..55979658..exon24,55980282..55980442..exon25,55981030..55981219..exon26,55981437..55981588..exon27,55984760..55984977..exon28,55987253..55987367..exon29,55991383..55991510..exon30
KIT	chr4:55524131..55524258..exon1,55561667..55561957..exon2,55564439..55564741..exon3,55565785..55565942..exon4,55569879..55570068..exon5,55573253..55573463..exon6,55575579..55575715..exon7,55589739..55589874..exon8,55592012..55592214..exon9,55592012..55592226..exon10,55593373..55593500..exon11,55593571..55593718..exon12,55593978..55594103..exon13,55594166..55594297..exon14,55595490..55595661..exon15,55597483..55597595..exon16,55598026..55598174..exon17,55599225..55599368..exon18,55602653..55602785..exon19,55602876..55602996..exon20,55603330..55603456..exon21,55604584..55604773..exon22
PDCD1	chr2:242793159..242793459..exon1,242794090..242794145..exon2,242794339..242794515..exon3,242794762..242795142..exon4,242800904..242801040..exon5
KDR	chr4:55946057..55946340..exon1,55948112..55948218..exon2,55948692..55948812..exon3,55953763..55953935..exon4,55955024..55955150..exon5,55955530..55955650..exon6,55955847..55955979..exon7,55956112..55956255..exon8,55958773..55958891..exon9,55960958..55961132..exon10,55961733..55961842..exon11,55962385..55962519..exon12,55963818..55963943..exon13,55964293..55964449..exon14,55964853..55964980..exon15,55968053..55968205..exon16,55968518..55968685..exon17,55970799..55971161..exon18,55971988..55972117..exon19,55972843..55972987..exon20,55973893..55974070..exon21,55976559..55976743..exon22,55976810..55976945..exon23,55979460..55979658..exon24,55980282..55980442..exon25,55981030..55981219..exon26,55981437..55981588..exon27,55984760..55984977..exon28,55987253..55987367..exon29,55991383..55991510..exon30
ANGPT2	chr8:6360571..6360792..exon1,6366442..6366593..exon2,6371188..6371375..exon3,6372187..6372309..exon4,6377374..6377522..exon5,6377374..6377525..exon6,6378688..6378941..exon7,6385065..6385207..exon8,6389842..6390018..exon9,6420157..6420505..exon10
ANGPT1	chr8:108264032..108264253..exon1,108276438..108276589..exon2,108296899..108297086..exon3,108306153..108306275..exon4,108315457..108315605..exon5,108334113..108334366..exon6,108334113..108334381..exon7,108334116..108334366..exon8,108348367..108348509..exon9,108359159..108359335..exon10,108509479..108509836..exon11
.	.
.	.
FLT4	chr5:180030141..180030400..exon1,180035230..180035294..exon2,180035957..180036063..exon3,180036894..180037035..exon4,180038320..180038489..exon5,180039495..180039621..exon6,180040000..180040120..exon7,180041057..180041189..exon8,180043356..180043499..exon9,180043889..180044004..exon10,180045759..180045930..exon11,180046010..180046119..exon12,180046242..180046376..exon13,180046654..180046779..exon14,180047162..180047318..exon15,180047598..180047725..exon16,180047865..180048017..exon17,180048095..180048262..exon18,180048531..180048914..exon19,180049720..180049849..exon20,180050924..180051071..exon21,180052858..180053041..exon22,180053100..180053275..exon23,180055871..180056009..exon24,180056248..180056437..exon25,180056685..180056845..exon26,180056932..180057115..exon27,180057214..180057347..exon28,180057544..180057809..exon29,180058671..180058788..exon30,180076477..180076595..exon31
WEE1	chr11:9595430..9596066..exon1,9597424..9597650..exon2,9597450..9597650..exon3,9597766..9597850..exon4,9598023..9598216..exon5,9598678..9598820..exon6,9603068..9603235..exon7,9606794..9606910..exon8,9606978..9607084..exon9,9607985..9608176..exon10,9608247..9608413..exon11,9609985..9610199..exon12
IgE	.
EPCAM	chr2:47596594..47596730..exon1,47600591..47600719..exon2,47600936..47601197..exon3,47602362..47602448..exon4,47604142..47604226..exon5,47606081..47606203..exon6,47606897..47607118..exon7,47612294..47612359..exon8,47613700..47613802..exon9
